country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United Kingdom,2020-02-15,-12.0,-7.0,-35.0,-12.0,-4.0,2.0
United Kingdom,2020-02-16,-7.0,-6.0,-28.0,-7.0,-3.0,1.0
United Kingdom,2020-02-17,10.0,1.0,24.0,-2.0,-14.0,2.0
United Kingdom,2020-02-18,7.0,-1.0,20.0,-3.0,-14.0,2.0
United Kingdom,2020-02-19,6.0,-2.0,8.0,-4.0,-14.0,3.0
United Kingdom,2020-02-20,5.0,-2.0,4.0,-5.0,-14.0,3.0
United Kingdom,2020-02-21,5.0,-1.0,10.0,-3.0,-15.0,3.0
United Kingdom,2020-02-22,-4.0,-2.0,-7.0,-2.0,-2.0,1.0
United Kingdom,2020-02-23,-1.0,-2.0,-5.0,3.0,-1.0,0.0
United Kingdom,2020-02-24,-3.0,-1.0,-9.0,-2.0,-2.0,1.0
United Kingdom,2020-02-25,-1.0,4.0,3.0,1.0,1.0,0.0
United Kingdom,2020-02-26,1.0,0.0,6.0,-1.0,1.0,0.0
United Kingdom,2020-02-27,2.0,1.0,8.0,0.0,0.0,0.0
United Kingdom,2020-02-28,1.0,1.0,-13.0,0.0,-1.0,1.0
United Kingdom,2020-02-29,1.0,1.0,-14.0,-2.0,0.0,0.0
United Kingdom,2020-03-01,7.0,2.0,14.0,5.0,1.0,-1.0
United Kingdom,2020-03-02,4.0,4.0,14.0,0.0,1.0,0.0
United Kingdom,2020-03-03,2.0,3.0,11.0,-1.0,1.0,0.0
United Kingdom,2020-03-04,2.0,3.0,2.0,-2.0,1.0,1.0
United Kingdom,2020-03-05,-1.0,2.0,1.0,-3.0,0.0,1.0
United Kingdom,2020-03-06,5.0,6.0,22.0,1.0,1.0,0.0
United Kingdom,2020-03-07,0.0,2.0,7.0,-1.0,1.0,0.0
United Kingdom,2020-03-08,4.0,2.0,15.0,2.0,1.0,-1.0
United Kingdom,2020-03-09,0.0,4.0,4.0,-3.0,0.0,1.0
United Kingdom,2020-03-10,-2.0,5.0,4.0,-4.0,0.0,1.0
United Kingdom,2020-03-11,0.0,5.0,10.0,-6.0,0.0,1.0
United Kingdom,2020-03-12,-1.0,11.0,5.0,-8.0,-1.0,2.0
United Kingdom,2020-03-13,-2.0,11.0,12.0,-9.0,-4.0,2.0
United Kingdom,2020-03-14,-10.0,7.0,1.0,-15.0,-2.0,2.0
United Kingdom,2020-03-15,-11.0,7.0,-1.0,-16.0,-4.0,2.0
United Kingdom,2020-03-16,-3.0,20.0,29.0,-16.0,-9.0,4.0
United Kingdom,2020-03-17,-15.0,21.0,6.0,-27.0,-16.0,7.0
United Kingdom,2020-03-18,-21.0,22.0,-3.0,-34.0,-23.0,10.0
United Kingdom,2020-03-19,-21.0,24.0,2.0,-37.0,-27.0,11.0
United Kingdom,2020-03-20,-28.0,10.0,6.0,-40.0,-29.0,13.0
United Kingdom,2020-03-21,-50.0,1.0,2.0,-46.0,-25.0,11.0
United Kingdom,2020-03-22,-56.0,-14.0,20.0,-46.0,-30.0,9.0
United Kingdom,2020-03-23,-45.0,-8.0,1.0,-53.0,-45.0,17.0
United Kingdom,2020-03-24,-71.0,-24.0,-14.0,-64.0,-58.0,24.0
United Kingdom,2020-03-25,-73.0,-26.0,-12.0,-68.0,-64.0,26.0
United Kingdom,2020-03-26,-74.0,-28.0,-11.0,-70.0,-66.0,27.0
United Kingdom,2020-03-27,-76.0,-29.0,-26.0,-71.0,-66.0,28.0
United Kingdom,2020-03-28,-83.0,-39.0,-54.0,-74.0,-57.0,20.0
United Kingdom,2020-03-29,-85.0,-46.0,-52.0,-75.0,-55.0,15.0
United Kingdom,2020-03-30,-74.0,-32.0,-33.0,-73.0,-69.0,27.0
United Kingdom,2020-03-31,-74.0,-30.0,-21.0,-72.0,-70.0,27.0
United Kingdom,2020-04-01,-75.0,-32.0,-29.0,-73.0,-69.0,28.0
United Kingdom,2020-04-02,-75.0,-32.0,-24.0,-73.0,-70.0,29.0
United Kingdom,2020-04-03,-76.0,-30.0,-25.0,-72.0,-69.0,29.0
United Kingdom,2020-04-04,-81.0,-36.0,-38.0,-72.0,-57.0,19.0
United Kingdom,2020-04-05,-82.0,-41.0,-29.0,-70.0,-54.0,15.0
United Kingdom,2020-04-06,-73.0,-31.0,-20.0,-72.0,-70.0,27.0
United Kingdom,2020-04-07,-73.0,-29.0,-7.0,-69.0,-70.0,27.0
United Kingdom,2020-04-08,-73.0,-27.0,-14.0,-70.0,-70.0,27.0
United Kingdom,2020-04-09,-71.0,-20.0,-13.0,-70.0,-70.0,27.0
United Kingdom,2020-04-10,-78.0,-33.0,-18.0,-75.0,-80.0,32.0
United Kingdom,2020-04-11,-81.0,-32.0,-37.0,-70.0,-57.0,19.0
United Kingdom,2020-04-12,-89.0,-63.0,-33.0,-71.0,-58.0,16.0
United Kingdom,2020-04-13,-78.0,-41.0,-21.0,-78.0,-83.0,31.0
United Kingdom,2020-04-14,-71.0,-26.0,-10.0,-69.0,-70.0,27.0
United Kingdom,2020-04-15,-72.0,-27.0,-6.0,-69.0,-69.0,27.0
United Kingdom,2020-04-16,-73.0,-27.0,-7.0,-70.0,-69.0,28.0
United Kingdom,2020-04-17,-75.0,-30.0,-33.0,-71.0,-68.0,29.0
United Kingdom,2020-04-18,-81.0,-37.0,-47.0,-71.0,-54.0,19.0
United Kingdom,2020-04-19,-80.0,-40.0,-12.0,-66.0,-49.0,14.0
United Kingdom,2020-04-20,-71.0,-30.0,-2.0,-68.0,-67.0,25.0
United Kingdom,2020-04-21,-72.0,-28.0,2.0,-67.0,-67.0,26.0
United Kingdom,2020-04-22,-72.0,-28.0,1.0,-67.0,-66.0,27.0
United Kingdom,2020-04-23,-72.0,-27.0,6.0,-67.0,-66.0,27.0
